,titleleft,authors,isbn13left,synopsis
204,THE LOVELY BONES,"['Sebold, Alice']",9780316168816,"This Is The Tale Of Family, Memory, Love, And Living Told By 14-year-old Susie Salmon, Who Is Already In Heaven. Through The Voice Of A Precocious Teenage Girl, Susie Relates The Awful Events Of Her Death And Builds Out Of Her Family's Grief A Hopeful And Joyful Story. The Lovely Bones -- Reading Group Guide -- Excerpt From The Almost Moon. Alice Sebold. Originally Published: Boston : Little, Brown, C2002. With New Reading Group Guide."
205,THE GIRL WITH THE DRAGON TATTOO,['Stieg Larsson'],9780307454546,"<p><b>a Spellbinding Amalgam Of Murder Mystery, Family Saga, <br>love Story, And Financial Intrigue.<br><br></b>it S About The Disappearance Forty Years Ago Of Harriet Vanger, A Young Scion Of One Of The Wealthiest Families In Sweden . . . And About Her Octogenarian Uncle, Determined To Know The Truth About What He Believes Was Her Murder. <br><br>it S About Mikael Blomkvist, A Crusading Journalist Recently At The Wrong End Of A Libel Case, Hired To Get To The Bottom Of Harriet S Disappearance . . . And About Lisbeth Salander, A Twenty-four-year-old Pierced And Tattooed Genius Hacker Possessed Of The Hard-earned Wisdom Of Someone Twice Her Age Who Assists Blomkvist With The Investigation. This Unlikely Team Discovers A Vein Of Nearly Unfathomable Iniquity Running Through The Vanger Family, Astonishing Corruption In The Highest Echelons Of Swedish Industrialism, And An Unexpected Connection Between Themselves.<br><br>contagiously Exciting, It S About Society At...</p><h3>the Barnes & Noble Review</h3><p>stieg Larsson's First Murder Mystery Has Been A Smash Hit Throughout Europe Since Its 2005 Publication In The Author's Native Sweden, And Has Now Become A Bestseller In The U.s. As Well. But The Bitter Twist In Larsson's Success Story Is That He Didn't Live To See <em>the Girl With The Dragon Tattoo</em> Published: He Died Of A Heart Attack Just After He Delivered The Manuscripts For This Book And The Two That Follow. When The Most Shocking Corpse In The Drawing Room Turns Out To Be The 50-year-old Author's, The Thrills Of Crime Fiction Can Take A Melancholy Turn. But Let's Try, For The Moment, To Evaluate Larsson's Novel Apart From Its Ill-fated Provenance. What Is It That's Generating So Much Enthusiasm From A Gobsmacked International Audience?</p>"
206,PUSH,['Sapphire'],9780679766759,"A Self-portrait Of A Black Teenage Girl, Big, Fat, Unloved, With A Father Who Rapes Her And A Jealous Mother Who Screams Abuse. For Precious, As She Is Called, Hope Appears When A Courageous Teacher, A Young Black Woman, Bullies, Cajoles And Inspires Her To Learn To Read. By The Author Of American Dreams. By Sapphire. First Vintage Contemporaries Edition, May 1997. -- T.p. Verso. Now A Major Motion Picture--cover. Includes The Novel Push And A Reader's Guide--cover. Reader's Guide (p. [38-40], Second Sequence). Sundance Festival Award Winner--cover."
207,THE PIANO TEACHER,"['Lee, Janice Y. K.']",9780143116530,"<p><b>""A rare and exquisite story...Transports you out of time, out of place, into a world you can feel on your very skin."" -Elizabeth Gilbert</b></p>
<p>In the sweeping tradition of <i>The English Patient</i>, Janice Y.K. Lee's debut novel is a tale of love and betrayal set in war-torn Hong Kong. In 1942, Englishman Will Truesdale falls headlong into a passionate relationship with Trudy Liang, a beautiful Eurasian socialite. But their affair is soon threatened by the invasion of the Japanese as World War II overwhelms their part of the world. Ten years later, Claire Pendleton comes to Hong Kong to work as a piano teacher and also begins a fateful affair. As the threads of this spellbinding novel intertwine, impossible choices emerge-between love and safety, courage and survival, the present, and above all, the past.</p>"
208,THE SHACK,['William P. Young'],9780964729230,"<p><P>Mackenzie Allen Philips' youngest daughter, Missy, has been abducted during a family vacation and evidence that she may have been brutally murdered is found in an abandoned shack deep in the Oregon wilderness. Four years later in the midst of his Great Sadness, Mack receives a suspicious note, apparently from God, inviting him back to that shack for a weekend. Against his better judgment he arrives at the shack on a wintry afternoon and walks back into his darkest nightmare. What he finds there will change Mack's world forever.</p>"
209,WITCH AND WIZARD,"['Patterson, James', 'Charbonnet, Gabrielle']",9780316036245,"<p><p>everything. Changes. Now.<p>imagine You Wake Up And The World Around You-life As You Know It-has Changed In An Instant. That's What Has Happened To Whit Allgood And His Sister, Whisty. They Went To Sleep As Normal Teenagers, And Woke Up As Wanted Criminals. Accused Of Holding Incredible Powers They'd Never Dreamed Possible. And Now, Just How Different They Are-special, Even-if Just Beginning To Be Revealed In A Strange New World.<p>it Begins...now.</p><h3>publishers Weekly</h3><p>patterson (the Maximum Ride Books) And Charbonnet Launch A New Series About Political And Cultural Oppression, Which Suffers From Some Questionable Storytelling Choices. Ordinary Teenagers Whit And Wisty Are Taken From Their House By Representatives Of The Oppressive &ldquo;new Order.&rdquo; Accused Of Being A Wizard And A Witch, They're Thrown In A Dank Prison To Await Execution. While There They Begin To Master Previously Unknown Powers And, Thanks To Some Otherworldly Help, They Manage To Escape And Are United With The Resistance Movement. The Authors Rely On Coincidence And Plot Holes&mdash;each Teen Is Allowed To Bring One Possession Into The Otherwise Barbaric Jail, And Thus End Up With Magical Implements. The Story Is Further Undercut By Frequent Recapping And Short Chapters, Alternately Narrated By The Siblings, Which Break Up The Narrative For No Perceivable Reason. There's Some Fun World-building, Including A Stream Of Thinly Disguised Pop Culture References In Wisty And Whit's Alternate World (from The Books Of Gary Blotter To The Artist Margie O'greeffe), But Even These Are Inconsistent (their World Also Includes Red Bull And The Adjective Dickensian) And Come Across As Groaners. Ages 10-up. (dec.)</p>"
210,CATCHING FIRE,"['Collins, Suzanne']",9780439023498,"By Winning The Annual Hunger Games, District 12 Tributes Katniss Everdeen And Peeta Mellark Have Secured A Life Of Safety And Plenty For Themselves And Their Families, But Because They Won By Defying The Rules, They Unwittingly Become The Faces Of An Impending Rebellion."
211,THE HUNGER GAMES,"['Collins, Suzanne']",9780439023481,"In A Future North America, Where The Rulers Of Panem Maintain Control Through An Annual Televised Survival Competition Pitting Young People From Each Of The Twelve Districts Against One Another, Sixteen-year-old Katniss's Skills Are Put To The Test When She Voluntarily Takes Her Younger Sister's Place."
212,FALLEN,"['Kate, Lauren']",9780385738934,"<p><p>there's Something Achingly Familiar About Daniel Grigori.<p>mysterious And Aloof, He Captures Luce Price's Attention From The Moment She Sees Him On Her First Day At The Sword & Cross Boarding School In Sultry Savannah, Georgia. He's The One Bright Spot In A Place Where Cell Phones Are Forbidden, The Other Students Are All Screw-ups, And Security Cameras Watch Every Move.<p>even Though Daniel Wants Nothing To Do With Luce&#151;and Goes Out Of His Way To Make That Very Clear&#151;she Can't Let It Go. Drawn To Him Like A Moth To A Flame, She Has To Find Out What Daniel Is So Desperate To Keep Secret . . . Even If It Kills Her.<p>dangerously Exciting And Darkly Romantic, <i>fallen </i>is A Page Turning Thriller And The Ultimate Love Story.</p><h3>publishers Weekly</h3><p>beautiful Lucinda (luce) Price Is Banished From Everything She Knows After A Mysterious Fire Leaves Her Friend Trevor Dead And Luce Shouldering The Blame. She Is Forced To Board At A Decrepit Reform School Where Students Are Under The Constant Watch Of Cameras And Must Go Without Cellphones Or Internet Access. Grief-stricken By Trevor's Death And Horrified By Her New Surroundings, Luce Is Also Plagued By Sinister, Terrifying Shadows That Appear Wherever She Goes. The Remote Gothic Setting Provides The Standard Backdrop For The Crux Of The Story, First In A Planned Series&mdash;the Romantic Feelings Luce Develops For The Elusive, Unpredictable, And Rather Unlikable Daniel. Aside From The Evil Shadows, The Plot Can Be Summed Up With A Single Word&#58; Pining. Luce Longs For Daniel In Various Ways&mdash;dreaming Of Him, Digging Up Information, Trying To Talk To Him, Experiencing Rejection, Then Trying Again. Some Readers Will Pine Right Alongside Luce, But Others May Feel That Kate Spends Too Much Time On Unrequited Love And Too Little On Forward Movement In Luce's Relationship With Daniel And The Mystery Of What, Exactly, Daniel Is. Ages 12&ndash;up. (dec.)</p>"
213,SHIVER,['Maggie Stiefvater'],9780545123266,"<p>for Years, Grace Has Watched The Wolves In The Woods Behind Her House. One Yellow-eyed Wolf--her Wolf--is A Chilling Presence She Can't Seem To Live Without. Meanwhile, Sam Has Lived Two Lives&#58; In Winter, The Frozen Woods, The Protection Of The Pack, And The Silent Company Of A Fearless Girl. In Summer, A Few Precious Months Of Being Human . . . Until The Cold Makes Him Shift Back Again. <p>now, Grace Meets A Yellow-eyed Boy Whose Familiarity Takes Her Breath Away. It's Her Wolf. It Has To Be. But As Winter Nears, Sam Must Fight To Stay Human--or Risk Losing Himself, And Grace, Forever. <p></p><h3>publishers Weekly</h3><p>stiefvater Leaves The Faeries Of Lament And Ballad For A Lyrical Tale Of Alienated Werewolves And First Love. For Years, Grace Has Been Fascinated By The Yellow-eyed Wolf That Saved Her From Its Pack When She Was A Child. Sam, Bitten By A Wolf As A Boy, Is That Wolf. Long Obsessed With Each Other At A Distance, They Finally Meet After A Wolf Hunt (inspired By The Apparent Death Of A Local Teen) Sends A Wounded And Temporarily Human Sam Into Grace's Arms. Their Young Love Is Facilitated By Grace's Hands-off Parents (&ldquo;once Upon A Time, I Would've Leaped At The Rare Opportunity Of Curling Up With Mom On The Couch. But Now, It Sort Of Felt Like Too Little, Too Late,&rdquo; Grace Muses), But Threatened By Two Linked Crises&#58; The Fact That Sam Will Soon Lose The Ability To Become Human And The Instability Of A New Lycanthrope. Stiefvater Skillfully Increases The Tension Throughout; Her Take On Werewolves Is Interesting And Original While Her Characters Are Refreshingly Willing To Use Their Brains To Deal With The Challenges They Face. Ages 13&ndash;up. (aug.)</p>"
214,THE MAYO CLINIC DIET,['By the weight-loss experts at Mayo Clinic'],9781561486762,"From Mayo Clinic, A Leading Authority On Health And Nutrition, Comes The Mayo Clinic Diet, The Last Diet You'll Ever Need. Features A Two-week Quick-start Program, Meal Planners, Recipes, Tips For Overcoming Challenges, Starting An Exercise Plan, And Much More. Pt. 1. Lose It! 1. Ready, Set, Go : Before You Start ; Finding Your Inner Motivation ; Are You Ready? ; The Mayo Clinic Healthy Weight Pyramid ; Quick Reference Guide To Lose It -- 2. Add 5 Habits : Eat A Healthy Breakfast, But Not Too Much ; Eat Vegetables And Fruits, At Least 3 Or 4 Servings Daily ; Eat Whole Grains, Whole-grain Bread, Others ; Eat Healthy Fats, Olive Oil And Vegetable Oils, Nuts ; Move! Walk Or Exercise For 30 Minutes Or More Every Day -- 3. Break 5 Habits : No Tv While Eating, And No More Tv Time Than Exercise Time ; No Sugar, Except Vegetables And Fruits ; Moderate Meat And Low-fat Dairy, The Size Of A Deck Of Cards ; No Eating At Restaurants, Unless The Meal Fits The Program. 4. Adopt 5 Bonus Habits : Keep Food Records, Write Down Everything You Eat ; Keep Activity Records, Type Of Activity, Duration And Intensity ; Move More! Walk Or Exercise For 60 Minutes Or More Every Day ; Eat Real Food, Mostly Fresh, And Healthy Frozen Or Canned ; Write Your Daily Goals, What Motivates You Every Day -- 5. What Have You Learned? : Analyzing Your Results ; What Worked And What Didn't? -- Pt. 2. Live It! 6. Preparing To Live It : Setting Your Weight-loss Goal ; Selecting Your Daily Calorie Goal ; Determining Your Daily Servings ; Quick Guide To Serving Sizes -- 7. Eating To The Pyramid : If You're Hungry, Eat -- 8. No Food Scales Or Calculators Needed : Breakfast, Practicing Portion Control ; Lunch, Taking Apart A Sandwich ; Dinner, Unscrambling Food Jumbles ; Snacks, Recognizing The Best Options -- 9. Burning Calories : Start Where You Are ; Adding Activities To Your Day. 10. A Quick Review...and A Look Ahead : Reviewing The Steps ; Your Ultimate Goal -- Pt. 3. All The Extra Stuff. 11. Finding Your Healthy Weight : What's Your Bmi? ; Is Your Health At Risk? ; Why Am I Overweight? -- 12. Understanding Nutrition And Weight Control : Dietary Sources Of Energy ; Your Energy Account -- 13. The Mayo Clinic Healthy Weight Pyramid : Vegetables And Fruits ; Carbohydrates ; Protein And Dairy ; Fats ; Sweets ; Physical Activity -- 14. How To Change Behaviors : Preparing For Change ; Put The Brakes On Stress -- 15. So I Slipped Up: What Do I Do? : Breaking Behavior Chains ; How To Stay Motivated ; Getting Family And Friends On Board -- 16. Making Meals Easy : Quick & Healthy Menu Ideas ; Adapting Recipes ; Sample Menus -- 17. Sticking To The Diet When Eating Out : Maneuvering The Menu ; Your Guide To Healthy Ethnic Cuisine -- 18. Burning Even More Calories : Aerobics ; Strength Training ; Calories Burned In 1 Hour. Action Guide To Weight-loss Barriers -- Pyramid Servings At A Glance -- Recipes For Weight Loss. [by The Weight -loss Experts At Mayo Clinic.] Subtitle And Statement Of Responsibility From Cover. Includes Index."
215,THE HAPPINESS PROJECT,"['Rubin, Gretchen']",9780061583254,"Gretchen Rubin Had An Epiphany One Rainy Afternoon In The Unlikeliest Of Places: A City Bus. The Days Are Long, But The Years Are Short, She Realized. Time Is Passing, And I'm Not Focusing Enough On The Things That Really Matter. In That Moment, She Decided To Dedicate A Year To Her Happiness Project. In This Lively And Compelling Account Of That Year, Rubin Carves Out Her Place Alongside The Authors Of Bestselling Memoirs Such As Julie And Julia, The Year Of Living Biblically, And Eat, Pray, Love. With Humor And Insight, She Chronicles Her Adventures During The Twelve Months She Spent Test-driving The Wisdom Of The Ages, Current Scientific Research, And Lessons From Popular Culture About How To Be Happier. Rubin Didn't Have The Option To Uproot Herself, Nor Did She Really Want To; Instead She Focused On Improving Her Life As It Was. Each Month She Tackled A New Set Of Resolutions: Give Proofs Of Love, Ask For Help, Find More Fun, Keep A Gratitude Notebook, Forget About Results. She Immersed Herself In Principles Set Forth By All Manner Of Experts, From Epicurus To Thoreau To Oprah To Martin Seligman To The Dalai Lama To See What Worked For Her—and What Didn't. Her Conclusions Are Sometimes Surprising—she Finds That Money Can Buy Happiness, When Spent Wisely; That Novelty And Challenge Are Powerful Sources Of Happiness; That Treating Yourself Can Make You Feel Worse; That Venting Bad Feelings Doesn't Relieve Them; That The Very Smallest Of Changes Can Make The Biggest Difference—and They Range From The Practical To The Profound. Written With Charm And Wit, The Happiness Project Is Illuminating Yet Entertaining, Thought-provoking Yet Compulsively Readable. Gretchen Rubin's Passion For Her Subject Jumps Off The Page, And Reading Just A Few Chapters Of This Book Will Inspire You To Start Your Own Happiness Project."
216,YOU: THE OWNER’S MANUAL FOR TEENS,"['Roizen, Michael F.', 'Oz, Mehmet']",9781439164969,"<p>For the first time in our history, scientists are uncovering astounding medical evidence about dieting — and why so many of us struggle with our weight and the size of our waists. Now researchers are unraveling biological secrets about such things as why you crave chocolate or gorge at buffets or store so much fat.</p>
<p>Michael Roizen and Mehmet Oz, America's most trusted doctor team and authors of the bestselling <i>YOU</i> series, are now translating this cutting-edge information to help you shave inches off your waist. They're going to do it by giving you the best weapon against fat: knowledge. By understanding how your body's fat-storing and fat-burning systems work, you're going to learn how to crack the code on true and lifelong waist management.</p>
<p>Roizen and Oz will invigorate you with equal parts information, motivation, and change-your-life action to show you how your brain, stomach, hormones, muscles, heart, genetics, and stress levels all interact biologically to determine if your body is the size of a baseball bat or of a baseball stadium. In <i>YOU: On a Diet</i>, Roizen and Oz will redefine what a healthy figure is, then take you through an under-theskin tour of the organs that influence your body's size and its health. You'll even be convinced that the key number to fixate on is not your weight, but your waist size, which best indicates the medical risks of storing too much fat.</p>
<p>Because the world has almost as many diet plans as it has e-mail spammers, you'd think that just about all of us would know everything there is to know about dieting, about fat, and about the reasons why our bellies have grown so large. <i>YOU: On a Diet</i> is much more than a diet plan or a series of instructions and guidelines or a faddish berries-only eating plan. It's a complete manual for waist management. It will show you how to achieve and maintain an ideal and healthy body size by providing a lexicon according to which any weight-loss system can be explained. <i>YOU: On a Diet</i> will serve as the operating system that facilitates future evolution in our dieting software. After you learn about the biology of your body and the biology and psychology of fat, you'll be given the YOU Diet and YOU Workout. Both are easy to learn, follow, and maintain. Following a two-week rebooting program will help you lose up to two inches from your waist right from the start.</p>
<p>With Roizen and Oz's signature accessibility, wit, and humor, <i>YOU: On a Diet — The Owner's Manual for Waist Management</i> will revolutionize the way you think about yourself and the food you consume, so that you'll diet smart, not hard. Welcome to your body on a diet.</p>"
217,4-HOUR WORKWEEK,"['Ferriss, Timothy']",9780307465351,"<p>more Than 100 Pages Of New, Cutting-edge Content.<p>forget The Old Concept Of Retirement And The Rest Of The Deferred-life Plan&#8211;there Is No Need To Wait And Every Reason Not To, Especially In Unpredictable Economic Times<b>.</b> Whether Your Dream Is Escaping The Rat Race, Experiencing High-end World Travel, Earning A Monthly Five-figure Income With Zero Management, Or Just Living More And Working Less, <i>the 4-hour Workweek</i> Is The Blueprint. <p>this Step-by-step Guide To Luxury Lifestyle Design Teaches&#58; <br>&#8226;how Tim Went From $40,000 Per Year And 80 Hours Per Week To $40,000 Per Month And 4 Hours Per Week<br>&#8226;how To Outsource Your Life To Overseas Virtual Assistants For $5 Per Hour And Do Whatever You Want<br>&#8226;how Blue-chip Escape Artists Travel The World Without Quitting Their Jobs<br>&#8226;how To Eliminate 50% Of Your Work In 48 Hours Using The Principles Of A Forgotten Italian Economist<br>&#8226;how To Trade A Long-haul Career For Short Work Bursts And Frequent &#8220;mini-retirements&#8221;<p>the New Expanded Edition Of Tim Ferriss&#8217; <i>the 4-hour Workweek</i> Includes&#58;<br>&#8226;more Than 50 Practical Tips And Case Studies From Readers (including Families) Who Have Doubled Income, Overcome Common Sticking Points, And Reinvented Themselves Using The Original Book As A Starting Point<br>&#8226;real-world Templates You Can Copy For Eliminating E-mail, Negotiating With Bosses And Clients, Or Getting A Private Chef For Less Than $8 A Meal<br>&#8226;how Lifestyle Design Principles Can Be Suited To Unpredictable Economic Times<br>&#8226;the Latest Tools And Tricks, As Well As High-tech Shortcuts, For Living Like A Diplomat Or Millionaire Without Being Either</p>"
218,"MASTERING THE ART OF FRENCH COOKING, VOL. 1","['Julia Child', 'Louisette Bertholle', 'Simone Beck']",9780375413407,"<p>this Is The Classic Cookbook, In Its Entirety—all 524 Recipes.</p><p>“anyone Can Cook In The French Manner Anywhere,” Wrote Mesdames Beck, Bertholle, And Child, “with The Right Instruction.” And Here Is <i>the</i> Book That, For More Than Forty Years, Has Been Teaching Americans How.<br><i>mastering The Art Of French Cooking</i> Is For Both Seasoned Cooks And Beginners Who Love Good Food And Long To Reproduce At Home The Savory Delights Of The Classic Cuisine, From The Historic Gallic Masterpieces To The Seemingly Artless Perfection Of A Dish Of Spring-green Peas. This Beautiful Book, With More Than 100 Instructive Illustrations, Is Revolutionary In Its Approach Because:</p><p>• It Leads The Cook <i>infallibly</i> From The Buying And Handling Of Raw Ingredients, Through Each Essential Step Of A Recipe, To The Final Creation Of A Delicate Confection;</p><p>• It Breaks Down The Classic Cuisine Into A Logical Sequence Of Themes And Variations Rather Than Presenting An Endless And Diffuse Catalogue Of Recipes; The Focus Is On Key Recipes That Form The Backbone Of French Cookery And Lend Themselves To An Infinite Number Of Elaborations—bound To Increase Anyone’s Culinary Repertoire;</p><p>• It Adapts Classical Techniques, Wherever Possible, To Modern American Conveniences;</p><p>• It Shows Americans How To Buy Products, From Any Supermarket In The United States, That Reproduce The Exact Taste And Texture Of The French Ingredients, For Example, Equivalent Meat Cuts, The Right Beans For A <i>cassoulet,</i> Or The Appropriate Fish And Seafood For A Bouillabaisse;</p><p>• It Offers Suggestions For Just The Right Accompaniment To Each Dish, Including Proper Wines.</p><p>since There Has Never Been A Book As Instructive And As Workable As <i>mastering The Art Of French Cooking,</i> The Techniques Learned Here Can Be Applied To Recipes In All Other French Cookbooks, Making Them Infinitely More Usable. In Compiling The Secrets Of Famous <i>cordons Bleus,</i> The Authors Have Produced A Magnificent Volume That Is Sure To Find The Place Of Honor In Every Kitchen In America.</p><p Class=null1>bon Appétit!<br></p>"
219,THE HELP,"['Stockett, Kathryn']",9780399155345,"<p><p>Be prepared to meet three unforgettable women&#58;<p>Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.<p>Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken.<p>Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town...</p><h3>The Washington Post - Sybil Steinberg</h3><p>Southern whites' guilt for not expressing gratitude to the black maids who raised them threatens to become a familiar refrain. But don't tell Kathryn Stockett because her first novel is a nuanced variation on the theme that strikes every note with authenticity. In a page-turner that brings new resonance to the moral issues involved, she spins a story of social awakening as seen from both sides of the American racial divide.</p>"
220,THE LOST SYMBOL,"['Brown, Dan']",9780385504225,"<p><p>in This Stunning Follow-up To The Global Phenomenon <i>the Da Vinci Code,</i> Dan Brown Demonstrates Once Again Why He Is The World&rsquo;s Most Popular Thriller Writer. <i>the Lost Symbol</i> Is A Masterstroke Of Storytelling That Finds Famed Symbologist Robert Langdon In A Deadly Race Through A Real-world Labyrinth Of Codes, Secrets, And Unseen Truths . . . All Under The Watchful Eye Of Brown&rsquo;s Most Terrifying Villain To Date. Set Within The Hidden Chambers, Tunnels, And Temples Of Washington, D.c., <i>the Lost Symbol</i> Is An Intelligent, Lightning-paced Story With Surprises At Every Turn.&#160; This Is Dan Brown&rsquo;s Most Exciting Novel Yet.</p><h3>the Barnes & Noble Review</h3><p>first, A Confession: I Liked <i>the Da Vinci Code</i>. This News Is Even More Of A Surprise To Me Than It Might Be To Those Who, Years Ago, Heard Me Quip That I Quit Reading It Because The Moment The Albino Assassin Came Through The Door, I Left. The Novel's Clunky Opening Sentence (renowned Curator Jacques Sauniere Staggered Through The Archway Of The Grand Gallery) Foreshadows Brown's Penchant For Stilted Turns Of Phrase, And The Most Loudly Proclaimed Facts About Ancient Rites And Secret Societies Are Often Nothing Of The Sort, But By Now I Understand Why The Fascination Of 80 Million Readers Made <i>the Da Vinci Code</i> Such A Massive Phenomenon.</p>"
221,NOAH’S COMPASS,"['Tyler, Anne']",9780307272409,"<p>From the incomparable Anne Tyler, a wise, gently humorous, and deeply compassionate novel about a schoolteacher, who has been forced to retire at sixty-one, coming to terms with the final phase of his life.<br><br>Liam Pennywell, who set out to be a philosopher and ended up teaching fifth grade, never much liked the job at that run-down private school, so early retirement doesn't bother him. But he is troubled by his inability to remember anything about the first night that he moved into his new, spare, and efficient condominium on the outskirts of Baltimore. All he knows when he wakes up the next day in the hospital is that his head is sore and bandaged.<br><br>His effort to recover the moments of his life that have been stolen from him leads him on an unexpected detour. What he needs is someone who can do the remembering for him. What he gets is--well, something quite different.<br><br>We all know a Liam. In fact, there may be a little of Liam in each of us. Which is why Anne...</p><h3>The Barnes & Noble Review</h3><p>My mother used to have an expression she trotted out whenever she saw a particularly geekish or unattractive couple: ""I know there's a god."" She wasn't religious, and clearly didn't mean it that way. What she meant was, ""Isn't it nice that there's someone for everyone and even so-called losers find their match?""</p> <p>I thought of this while reading Anne Tyler's 18th novel, <em>Noah's Compass,</em> an offbeat, bittersweet love story about life's missed opportunities, because Tyler is a champion of the so-called loser. With the notable exception of her last novel, <em>Digging to America</em>, which dealt with issues of immigration and American identity, Tyler's focus has been on awkward, shy, lonely, often mismatched people, mostly residents of Baltimore, who all become remarkable and uncommonly sympathetic under her wry but gentle scrutiny.</p>"
222,IMPACT,"['Preston, Douglas']",9780765317681,"When A Brilliant Meteor Lights Up The Maine Coast, And Nasa Images Reveal An Unnatural Feature Hidden In The Depths Of A Crater On Mars, It's Just The Start Of The Adventure For A Former Cia Operative, Technicians, And Many Others."
223,CROSS FIRE,"['Patterson, James']",9780316018784,"Detective Alex Cross Is Pulled Out Of A Family Celebration And Given The Awful News That A Beloved Relative Has Been Found Brutally Murdered. Alex Vows To Hunt Down The Killer, And Soon Learns That She Was Mixed Up In One Of Washington's Wildest Scenes. And She Was Not This Killer's Only Victim. James Patterson."
224,THE BOOK OF GENESIS: ILLUSTRATED,"['Crumb, R.']",9780393061024,"Envisioning the first book of the bible like no one before him, R. Crumb, the legendary illustrator, reveals here the story of Genesis in a profoundly honest and deeply moving way. Originally thinking that we would do a take off of Adam and Eve, Crumb became so fascinated by the Bible’s language, “a text so great and so strange that it lends itself readily to graphic depictions,” that he decided instead to do a literal interpretation using the text word for word in a version primarily assembled from the translations of Robert Alter and the King James bible.
<p>Now, readers of every persuasion—Crumb fans, comic book lovers, and believers—can gain astonishing new insights from these harrowing, tragic, and even juicy stories. Crumb’s <em>Book of Genesis</em> reintroduces us to the bountiful tree lined garden of Adam and Eve, the massive ark of Noah with beasts of every kind, the cities of Sodom and Gomorrah destroyed by brimstone and fire that rained from the heavens, and the Egypt of the Pharaoh, where Joseph’s embalmed body is carried in a coffin, in a scene as elegiac as any in Genesis. Using clues from the text and peeling away the theological and scholarly interpretation that have often obscured the Bible’s most dramatic stories, Crumb fleshes out a parade of Biblical originals: from the serpent in Eden, the humanoid reptile appearing like an alien out of a science fiction movie, to Jacob, a “kind’ve depressed guy who doesn’t strike you as physically courageous,” and his bother, Esau, “a rough and kick ass guy,” to Abraham’s wife Sarah, more fetching than most woman at 90, to God himself, “a standard Charlton Heston-like figure with long white hair and a flowing beard.”</p>
<p>As Crumb writes in his introduction, “the stories of these people, the Hebrews, were something more than just stories. They were the foundation, the source, in writing of religious and political power, handed down by God himself.” Crumb’s <em>Book of Genesis</em>, the culmination of 5 years of painstaking work, is a tapestry of masterly detail and storytelling which celebrates the astonishing diversity of the one of our greatest artistic geniuses.</p>
<p>Nominated for three 2010 Will Eisner Comic Industry Awards: Best Adaptation from Another Work, Best Graphic Album, Best Writer/Artist.</p>"
225,THE STAND: AMERICAN NIGHTMARES,"['Roberto Aguirre-Sacasa', 'Stephen King']",9780785142744,"<p><p>the Deadly Super Flu Captain Trips Has Devastated The Country And Now The Few Survivors Must Pick Up The Pieces And Go On. Larry Underwood Seeks Escape From New York City. Lloyd Contemplates An Extremely Unsavory Dinner Option In Jail, And Stu Redman Makes A Desperate Bid For Freedom From His Interrogators. Most Ominous Of All, The Strange Being Called Randall Flagg Continues His Dread Journey Across The Devastated Landscape Of America.<p>collects The Stand&#58; American Nightmare #1-5.</p>"
226,BATMAN: BATTLE FOR THE COWL,"['Daniel, Tony', 'Nicieza, Fabian']",9781401224165,"<p><p>&quot;batman&#58; R.i.p.&quot; And Final Crisis Saw The End Of Batman. Now, Months Following The Disappearance Of Her Protector, Gotham City Sits At A Precipice And It May Be Too Far Gone For Nightwing, Robin, Commissioner Gordon And The Rest Of The City's Heroes To Save The Day. Amid The Fires, Rioting, Looting And Gang Warfare, One Question Rings Out From The Souls Of Gotham's Desperate Citizens&#58; Where Is Batman?<p>with Guest-stars Galore, The Destruction Of A Sacred Gotham City Institution And An Ending That Will Have Everyone Talking, This Event Written And Drawn By Tony Daniel (the Tenth) And Other Top Creators Features The Battle To Take On The Mantle Of The Bat. Who Has Earned The Right? Who Thinks They Deserve It? Robin? Nightwing? Jason Todd? Two-face? Catwoman? Batgirl? Who Will Ultimately Win The Battle For The Cowl?</p>"
227,DARK TOWER: TREACHERY,"['Stephen King', 'Robin Furth', 'Peter David']",9780785135746,"The ka-tet of Roland, Alain and Cuthbert have returned safely to their home in Gilead. But all is not well. Roland has kept the evil Maerlyn's Grapefruit and has become obsessed with peering into its pinkish depths despite the deadly toll it's taken on his health. And what the young gunslinger sees brings him the darkest of nightmares. Meanwhile, Roland's father has led a posse in search of those who threatened his son's life in Hambry-John Farson and the Big Coffin Hunters. And in this encounter, Stephen Deschain's life may be forfeit.<p><strong>Collecting:</strong></p><p>Dark Tower: Treachery #1-6</p>"
